Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-02-25;56,3186;56,3186;56,3186;56,3186;;
2021-02-24;56,4592;56,4592;56,4592;56,4592;;
2021-02-23;56,1964;56,1964;56,1964;56,1964;;
2021-02-22;56,4253;56,4253;56,4253;56,4253;;
2021-02-19;56,6591;56,6591;56,6591;56,6591;;
2021-02-18;56,3765;56,3765;56,3765;56,3765;;
2021-02-17;56,8081;56,8081;56,8081;56,8081;;
2021-02-16;57,1935;57,1935;57,1935;57,1935;;
2021-02-15;57,236;57,236;57,236;57,236;;
2021-02-12;56,4666;56,4666;56,4666;56,4666;;
2021-02-11;56,0845;56,0845;56,0845;56,0845;;
2021-02-10;55,858;55,858;55,858;55,858;;
2021-02-09;55,976;55,976;55,976;55,976;;
2021-02-08;55,9989;55,9989;55,9989;55,9989;;
2021-02-05;55,8345;55,8345;55,8345;55,8345;;
2021-02-04;55,8471;55,8471;55,8471;55,8471;;
2021-02-03;55,5263;55,5263;55,5263;55,5263;;
2021-02-02;55,3308;55,3308;55,3308;55,3308;;
2021-02-01;54,6463;54,6463;54,6463;54,6463;;
2021-01-29;53,9861;53,9861;53,9861;53,9861;;
2021-01-28;55,0358;55,0358;55,0358;55,0358;;
2021-01-27;55,0332;55,0332;55,0332;55,0332;;
2021-01-26;55,6468;55,6468;55,6468;55,6468;;
2021-01-25;55,3262;55,3262;55,3262;55,3262;;
2021-01-22;55,768;55,768;55,768;55,768;;
2021-01-21;56,0763;56,0763;56,0763;56,0763;;
2021-01-20;56,0744;56,0744;56,0744;56,0744;;
2021-01-19;55,6841;55,6841;55,6841;55,6841;;
2021-01-18;55,7801;55,7801;55,7801;55,7801;;
2021-01-15;55,6871;55,6871;55,6871;55,6871;;
2021-01-14;56,2448;56,2448;56,2448;56,2448;;
2021-01-13;55,8326;55,8326;55,8326;55,8326;;
2021-01-12;55,7887;55,7887;55,7887;55,7887;;
2021-01-11;55,7539;55,7539;55,7539;55,7539;;
2021-01-08;56,1113;56,1113;56,1113;56,1113;;
2021-01-07;55,7426;55,7426;55,7426;55,7426;;
2021-01-06;55,4569;55,4569;55,4569;55,4569;;
2021-01-05;54,6809;54,6809;54,6809;54,6809;;
2020-12-29;54,7376;54,7376;54,7376;54,7376;;
2020-12-24;53,9976;53,9976;53,9976;53,9976;;
2020-12-23;53,9437;53,9437;53,9437;53,9437;;
2020-12-22;53,379;53,379;53,379;53,379;;
2020-12-21;52,78;52,78;52,78;52,78;;
2020-12-18;54,0593;54,0593;54,0593;54,0593;;
2020-12-17;54,2335;54,2335;54,2335;54,2335;;
2020-12-16;54,0872;54,0872;54,0872;54,0872;;
2020-12-15;53,6345;53,6345;53,6345;53,6345;;
2020-12-14;53,5068;53,5068;53,5068;53,5068;;
2020-12-11;53,2991;53,2991;53,2991;53,2991;;
2020-12-10;53,7257;53,7257;53,7257;53,7257;;
2020-12-09;53,9384;53,9384;53,9384;53,9384;;
2020-12-08;53,7646;53,7646;53,7646;53,7646;;
2020-12-07;53,6476;53,6476;53,6476;53,6476;;
2020-12-04;53,8072;53,8072;53,8072;53,8072;;
2020-12-03;53,4712;53,4712;53,4712;53,4712;;
2020-12-02;53,4767;53,4767;53,4767;53,4767;;
2020-12-01;53,4662;53,4662;53,4662;53,4662;;
2020-11-30;53,1274;53,1274;53,1274;53,1274;;
2020-11-27;53,6709;53,6709;53,6709;53,6709;;
2020-11-26;53,4635;53,4635;53,4635;53,4635;;
2020-11-25;53,5304;53,5304;53,5304;53,5304;;
2020-11-24;53,5676;53,5676;53,5676;53,5676;;
2020-11-23;53,0281;53,0281;53,0281;53,0281;;
2020-11-20;53,1187;53,1187;53,1187;53,1187;;
2020-11-19;52,8561;52,8561;52,8561;52,8561;;
2020-11-18;53,2583;53,2583;53,2583;53,2583;;
2020-11-17;53,0286;53,0286;53,0286;53,0286;;
2020-11-16;53,1408;53,1408;53,1408;53,1408;;
2020-11-13;52,5135;52,5135;52,5135;52,5135;;
2020-11-12;52,4999;52,4999;52,4999;52,4999;;
2020-11-11;52,9559;52,9559;52,9559;52,9559;;
2020-11-10;52,4126;52,4126;52,4126;52,4126;;
2020-11-09;51,9057;51,9057;51,9057;51,9057;;
2020-11-06;49,835;49,835;49,835;49,835;;
2020-11-05;49,9292;49,9292;49,9292;49,9292;;
2020-11-04;49,4498;49,4498;49,4498;49,4498;;
2020-11-03;48,471;48,471;48,471;48,471;;
2020-11-02;47,3741;47,3741;47,3741;47,3741;;
2020-10-30;46,611;46,611;46,611;46,611;;
2020-10-29;46,5355;46,5355;46,5355;46,5355;;
2020-10-28;46,5908;46,5908;46,5908;46,5908;;
2020-10-27;47,9948;47,9948;47,9948;47,9948;;
2020-10-26;48,4693;48,4693;48,4693;48,4693;;
2020-10-23;49,3213;49,3213;49,3213;49,3213;;
2020-10-22;48,9978;48,9978;48,9978;48,9978;;
2020-10-21;49,0448;49,0448;49,0448;49,0448;;
2020-10-20;49,705;49,705;49,705;49,705;;
2020-10-19;49,8497;49,8497;49,8497;49,8497;;
2020-10-16;49,9646;49,9646;49,9646;49,9646;;
2020-10-15;49,3144;49,3144;49,3144;49,3144;;
2020-10-14;50,3707;50,3707;50,3707;50,3707;;
2020-10-13;50,4252;50,4252;50,4252;50,4252;;
2020-10-12;50,6829;50,6829;50,6829;50,6829;;
2020-10-09;50,3426;50,3426;50,3426;50,3426;;
2020-10-08;50,0637;50,0637;50,0637;50,0637;;
2020-10-07;49,6707;49,6707;49,6707;49,6707;;
2020-10-06;49,7288;49,7288;49,7288;49,7288;;
2020-10-05;49,6968;49,6968;49,6968;49,6968;;
2020-10-02;49,2926;49,2926;49,2926;49,2926;;
2020-10-01;49,1623;49,1623;49,1623;49,1623;;
2020-09-30;49,065;49,065;49,065;49,065;;
2020-09-29;49,1459;49,1459;49,1459;49,1459;;
2020-09-28;49,4129;49,4129;49,4129;49,4129;;
2020-09-25;48,351;48,351;48,351;48,351;;
2020-09-24;48,3981;48,3981;48,3981;48,3981;;
2020-09-23;48,8953;48,8953;48,8953;48,8953;;
2020-09-22;48,6128;48,6128;48,6128;48,6128;;
2020-09-21;48,5109;48,5109;48,5109;48,5109;;
2020-09-18;50,1109;50,1109;50,1109;50,1109;;
2020-09-17;50,4519;50,4519;50,4519;50,4519;;
2020-09-16;50,7291;50,7291;50,7291;50,7291;;
2020-09-15;50,4349;50,4349;50,4349;50,4349;;
2020-09-14;50,1021;50,1021;50,1021;50,1021;;
2020-09-11;50,0374;50,0374;50,0374;50,0374;;
2020-09-10;49,968;49,968;49,968;49,968;;
2020-09-09;50,2652;50,2652;50,2652;50,2652;;
2020-09-08;49,4351;49,4351;49,4351;49,4351;;
2020-09-07;50,0009;50,0009;50,0009;50,0009;;
2020-09-04;49,2013;49,2013;49,2013;49,2013;;
2020-09-03;49,7454;49,7454;49,7454;49,7454;;
2020-09-02;50,407;50,407;50,407;50,407;;
2020-09-01;49,5859;49,5859;49,5859;49,5859;;
2020-08-28;50,08;50,08;50,08;50,08;;
2020-08-27;50,3486;50,3486;50,3486;50,3486;;
2020-08-26;50,6777;50,6777;50,6777;50,6777;;
2020-08-25;50,2417;50,2417;50,2417;50,2417;;
2020-08-24;50,4029;50,4029;50,4029;50,4029;;
2020-08-21;49,6014;49,6014;49,6014;49,6014;;
2020-08-20;49,686;49,686;49,686;49,686;;
2020-08-19;50,2224;50,2224;50,2224;50,2224;;
2020-08-18;49,8853;49,8853;49,8853;49,8853;;
