Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-02-26;318,33;321,28;316,39;321,12;46.343;14.800.727
2021-02-25;325,95;325,97;321,32;321,61;22.123;7.156.914
2021-02-24;322,18;325,14;321,78;325,14;28.588;9.229.553
2021-02-23;323,57;323,58;317,43;320,97;46.318;14.824.431
2021-02-22;323,44;323,89;322,43;323,53;30.129;9.738.465
2021-02-19;326,39;327,88;325,77;327,26;16.468;5.386.483
2021-02-18;328,96;329,04;325,25;326,30;36.498;11.954.277
2021-02-17;328,90;329,79;327,59;327,95;26.124;8.595.440
2021-02-16;329,66;329,87;328,19;328,68;26.119;8.598.283
2021-02-15;329,07;329,73;328,54;329,58;18.858;6.209.486
2021-02-12;325,96;327,50;325,36;327,02;13.463;4.395.320
2021-02-11;326,36;326,96;325,91;326,38;11.977;3.910.682
2021-02-10;326,99;327,53;323,70;325,23;36.298;11.866.165
2021-02-09;327,29;327,67;325,99;326,69;22.903;7.477.216
2021-02-08;327,16;327,91;326,87;327,02;41.862;13.701.086
2021-02-05;327,29;328,42;325,64;326,45;28.152;9.216.976
2021-02-04;322,19;325,33;322,12;325,22;34.417;11.142.808
2021-02-03;322,93;323,20;320,90;321,74;42.949;13.833.553
2021-02-02;317,30;322,21;317,24;322,17;40.567;12.967.680
2021-02-01;311,47;314,30;311,10;314,30;36.508;11.420.953
2021-01-29;311,94;314,30;310,56;310,56;26.691;8.341.742
2021-01-28;312,03;318,21;309,71;317,60;24.895;7.795.219
2021-01-27;319,28;320,56;315,39;316,07;22.301;7.093.228
2021-01-26;319,80;321,28;319,49;319,94;30.006;9.612.417
2021-01-25;319,98;321,50;316,34;318,31;24.043;7.669.654
2021-01-22;318,63;318,76;316,73;318,36;19.346;6.147.547
2021-01-21;321,80;321,89;319,69;320,25;13.300;4.267.134
2021-01-20;316,06;320,47;315,94;320,20;24.552;7.806.316
2021-01-19;316,59;317,00;314,75;315,20;17.212;5.434.199
2021-01-18;314,69;315,75;314,40;315,55;11.965;3.771.198
2021-01-15;315,23;315,74;313,26;315,20;24.370;7.673.762
2021-01-14;317,24;318,68;316,56;317,25;17.690;5.618.645
2021-01-13;315,11;316,45;313,82;316,20;27.716;8.737.618
2021-01-12;316,22;316,84;315,15;315,75;19.301;6.101.130
2021-01-11;315,53;316,84;314,70;316,31;18.669;5.892.287
2021-01-08;315,47;315,48;313,82;314,01;20.672;6.504.243
2021-01-07;309,63;313,67;309,00;312,80;30.247;9.421.901
2021-01-06;304,34;310,32;302,75;309,77;15.946;4.855.040
2021-01-05;304,39;306,40;303,29;305,07;37.432;11.398.958
2021-01-04;310,36;310,72;303,51;304,35;37.667;11.625.640
2020-12-30;307,93;308,64;307,19;307,39;12.602;3.880.100
2020-12-29;309,44;309,82;307,38;308,13;15.224;4.704.552
2020-12-28;307,54;308,87;307,08;308,33;13.492;4.156.317
2020-12-23;305,66;306,62;305,52;306,33;11.023;3.373.465
2020-12-22;304,25;306,11;304,24;305,20;16.700;5.095.784
2020-12-21;305,96;306,23;299,50;302,43;34.834;10.540.590
2020-12-18;306,00;307,00;304,80;305,08;15.293;4.683.532
2020-12-17;306,97;307,22;305,70;305,99;17.324;5.311.194
2020-12-16;307,04;307,04;304,91;306,84;22.247;6.813.420
2020-12-15;304,12;305,30;303,65;304,33;30.178;9.186.032
2020-12-14;305,72;307,40;305,40;305,43;20.999;6.424.600
2020-12-11;304,76;304,80;302,09;303,40;21.798;6.613.007
2020-12-10;306,42;306,99;303,50;305,93;21.920;6.697.636
2020-12-09;308,37;309,15;308,20;308,48;34.458;10.634.310
2020-12-08;306,70;308,04;305,30;308,04;25.490;7.811.454
2020-12-07;307,03;307,33;306,15;307,03;34.550;10.601.795
2020-12-04;305,02;306,72;304,49;306,72;17.766;5.423.935
2020-12-03;304,88;305,40;304,05;305,15;18.501;5.639.883
2020-12-02;305,03;306,11;304,29;305,40;19.611;5.987.722
2020-12-01;307,68;308,93;306,93;307,30;36.189;11.138.778
2020-11-30;304,41;305,72;302,62;303,94;23.334;7.105.872
