Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen;https://www.ariva.de/ishares_core_msci_em_imi_ucits_etf-fonds/historische_kurse?go=1&boerse_id=12&month=&currency=EUR&clean_split=1&clean_payout=1&clean_bezug=1
2021-10-19;31,895;31,958;31,795;31,958;180.786;5.764.206
2021-10-18;31,656;31,741;31,532;31,72;217.621;6.886.665
2021-10-15;31,62;31,814;31,55;31,809;319.983;10.122.617
2021-10-14;31,398;31,505;31,32;31,362;315.225;9.900.461
2021-10-13;31,124;31,353;31,07;31,296;120.293;3.755.090
2021-10-12;30,862;31,223;30,862;31,133;134.414;4.175.192
2021-10-11;31,309;31,40;31,26;31,33;121.395;3.802.847
2021-10-08;31,015;31,20;30,99;31,135;232.204;7.213.072
2021-10-07;31,017;31,177;30,966;31,177;813.685;25.233.834
2021-10-06;30,422;30,504;30,18;30,427;279.911;8.483.563
2021-10-05;30,448;30,693;30,433;30,671;353.911;10.806.453
2021-10-04;30,564;30,624;30,181;30,22;248.957;7.593.773
2021-10-01;30,578;30,926;30,518;30,756;330.405;10.139.670
2021-09-30;30,919;31,093;30,857;31,037;140.551;4.350.339
2021-09-29;30,688;30,817;30,656;30,695;159.149;4.889.732
2021-09-28;31,086;31,088;30,635;30,635;354.253;10.929.003
2021-09-27;31,03;31,03;30,80;31,015;231.927;7.181.165
2021-09-24;30,941;30,956;30,777;30,836;155.796;4.810.113
2021-09-23;31,128;31,287;30,959;31,013;176.032;5.469.096
2021-09-22;30,783;31,006;30,707;30,921;205.634;6.335.356
2021-09-21;30,422;30,601;30,35;30,446;277.845;8.476.806
2021-09-20;30,556;30,572;30,231;30,293;341.668;10.398.648
2021-09-17;31,15;31,16;30,979;31,01;257.431;8.002.848
2021-09-16;30,925;31,044;30,881;31,038;163.193;5.055.038
2021-09-15;31,164;31,164;31,021;31,021;195.156;6.073.464
2021-09-14;31,265;31,362;31,191;31,271;218.390;6.829.830
2021-09-13;31,354;31,514;31,333;31,459;140.114;4.404.059
2021-09-10;31,555;31,661;31,40;31,435;103.921;3.281.142
2021-09-09;31,172;31,452;31,092;31,372;158.772;4.963.949
2021-09-08;31,613;31,768;31,379;31,428;198.777;6.284.655
2021-09-07;31,819;31,865;31,642;31,852;174.365;5.535.464
2021-09-06;31,73;31,85;31,707;31,85;228.599;7.267.679
2021-09-03;31,407;31,599;31,395;31,554;147.340;4.640.571
2021-09-02;31,562;31,667;31,505;31,604;302.656;9.551.066
2021-09-01;31,619;31,661;31,447;31,661;365.163;11.538.396
2021-08-31;31,298;31,387;31,20;31,381;198.569;6.214.619
2021-08-30;30,929;31,037;30,807;30,953;278.612;8.628.860
2021-08-27;30,627;30,88;30,627;30,837;91.047;2.802.459
2021-08-26;30,605;30,74;30,58;30,635;189.446;5.810.723
2021-08-25;30,87;30,909;30,783;30,883;235.614;7.271.179
2021-08-24;30,552;30,865;30,545;30,824;245.920;7.533.722
2021-08-23;30,012;30,147;29,951;30,099;182.279;5.476.783
2021-08-20;29,687;29,985;29,524;29,887;279.582;8.312.022
