Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-03-02;7,647;7,674;7,609;7,609;793.984;6.078.851
2021-03-01;7,591;7,667;7,582;7,66;628.774;4.781.266
2021-02-26;7,497;7,557;7,45;7,516;376.536;2.827.034
2021-02-25;7,692;7,692;7,591;7,591;314.104;2.399.616
2021-02-24;7,631;7,673;7,606;7,662;445.720;3.405.565
2021-02-23;7,688;7,688;7,528;7,621;671.417;5.111.947
2021-02-22;7,70;7,701;7,677;7,689;679.278;5.224.098
2021-02-19;7,747;7,788;7,737;7,777;412.252;3.203.336
2021-02-18;7,804;7,807;7,724;7,747;376.624;2.927.095
2021-02-17;7,813;7,827;7,782;7,782;475.960;3.714.739
2021-02-16;7,855;7,859;7,807;7,818;1.316.910;10.311.082
2021-02-15;7,828;7,857;7,817;7,852;528.043;4.139.588
2021-02-12;7,775;7,81;7,759;7,787;260.751;2.029.484
2021-02-11;7,765;7,797;7,762;7,783;450.827;3.504.995
2021-02-10;7,792;7,805;7,706;7,736;523.429;4.062.943
2021-02-09;7,807;7,808;7,769;7,772;286.569;2.230.062
2021-02-08;7,79;7,812;7,778;7,799;607.067;4.731.731
2021-02-05;7,791;7,799;7,749;7,768;465.492;3.625.544
2021-02-04;7,692;7,757;7,692;7,752;570.596;4.407.573
2021-02-03;7,744;7,744;7,678;7,691;321.131;2.478.196
2021-02-02;7,612;7,713;7,612;7,711;390.630;2.993.682
2021-02-01;7,496;7,553;7,49;7,543;673.846;5.066.352
2021-01-29;7,469;7,531;7,456;7,456;421.786;3.160.639
2021-01-28;7,489;7,623;7,428;7,61;509.465;3.826.949
2021-01-27;7,655;7,678;7,566;7,597;571.689;4.364.865
2021-01-26;7,673;7,716;7,673;7,678;300.090;2.309.782
2021-01-25;7,687;7,711;7,62;7,653;737.549;5.650.886
2021-01-22;7,661;7,67;7,612;7,654;314.187;2.401.472
2021-01-21;7,737;7,737;7,679;7,682;443.923;3.424.094
2021-01-20;7,629;7,703;7,625;7,694;414.854;3.177.793
2021-01-19;7,649;7,65;7,616;7,622;521.589;3.982.217
2021-01-18;7,58;7,621;7,58;7,621;922.311;7.006.607
2021-01-15;7,617;7,63;7,566;7,609;588.569;4.479.335
2021-01-14;7,658;7,685;7,642;7,655;556.945;4.265.800
2021-01-13;7,643;7,651;7,61;7,639;447.484;3.413.896
2021-01-12;7,643;7,653;7,612;7,645;353.829;2.701.408
2021-01-11;7,636;7,656;7,61;7,645;596.967;4.559.609
2021-01-08;7,624;7,634;7,585;7,614;1.562.783;11.888.916
2021-01-07;7,492;7,549;7,466;7,533;643.760;4.827.781
2021-01-06;7,38;7,491;7,334;7,477;575.577;4.255.295
2021-01-05;7,364;7,392;7,335;7,368;733.683;5.402.633
2021-01-04;7,445;7,451;7,35;7,363;1.484.847;11.039.006
2020-12-30;7,369;7,377;7,354;7,354;293.367;2.160.567
2020-12-29;7,386;7,413;7,354;7,368;387.759;2.865.983
2020-12-28;7,46;7,46;7,35;7,376;579.315;4.277.889
2020-12-23;7,291;7,319;7,287;7,31;319.366;2.331.766
2020-12-22;7,258;7,29;7,255;7,275;205.431;1.494.419
2020-12-21;7,29;7,301;7,17;7,232;743.539;5.369.555
2020-12-18;7,315;7,345;7,30;7,309;340.214;2.491.096
2020-12-17;7,314;7,323;7,296;7,314;444.878;3.252.318
2020-12-16;7,293;7,301;7,264;7,29;378.395;2.755.262
2020-12-15;7,243;7,27;7,24;7,246;302.311;2.191.894
2020-12-14;7,267;7,296;7,251;7,258;269.952;1.962.856
2020-12-11;7,247;7,247;7,17;7,212;445.584;3.211.368
2020-12-10;7,26;7,269;7,192;7,241;359.141;2.600.440
2020-12-09;7,311;7,325;7,292;7,292;281.010;2.053.195
2020-12-08;7,268;7,279;7,222;7,276;335.697;2.433.101
2020-12-07;7,255;7,258;7,225;7,253;366.788;2.658.027
2020-12-04;7,219;7,254;7,207;7,254;206.998;1.494.480
2020-12-03;7,213;7,221;7,199;7,215;674.779;4.862.682
2020-12-02;7,243;7,263;7,208;7,223;374.597;2.713.405
2020-12-01;7,326;7,358;7,282;7,285;402.926;2.953.594
2020-11-30;7,271;7,302;7,231;7,236;315.631;2.297.904
2020-11-27;7,296;7,332;7,29;7,317;220.862;1.615.472
2020-11-26;7,296;7,314;7,291;7,291;257.146;1.877.936
2020-11-25;7,317;7,317;7,278;7,291;189.145;1.380.143
2020-11-24;7,308;7,31;7,282;7,304;213.501;1.557.359
2020-11-23;7,246;7,27;7,212;7,24;494.881;3.584.865
2020-11-20;7,198;7,236;7,198;7,23;298.461;2.154.932
2020-11-19;7,219;7,222;7,181;7,206;285.859;2.061.296
2020-11-18;7,215;7,268;7,209;7,259;609.546;4.414.097
2020-11-17;7,271;7,271;7,204;7,238;322.652;2.337.094
2020-11-16;7,251;7,294;7,223;7,262;487.117;3.537.691
2020-11-13;7,165;7,19;7,157;7,172;372.360;2.671.282
2020-11-12;7,177;7,20;7,162;7,174;690.729;4.967.318
2020-11-11;7,173;7,237;7,169;7,228;205.867;1.487.015
2020-11-10;7,165;7,174;7,09;7,128;822.800;5.875.609
2020-11-09;7,123;7,40;7,123;7,236;933.165;6.774.035
2020-11-06;7,066;7,072;6,99;7,042;397.399;2.794.365
2020-11-05;7,057;7,122;7,04;7,08;2.372.439;16.767.299
2020-11-04;6,85;7,034;6,838;7,034;166.421;1.150.014
2020-11-03;6,804;6,904;6,797;6,904;204.029;1.397.430
2020-11-02;6,691;6,799;6,673;6,771;492.846;3.319.669
2020-10-30;6,609;6,681;6,581;6,646;582.385;3.865.993
2020-10-29;6,678;6,703;6,62;6,693;264.800;1.766.132
2020-10-28;6,76;6,766;6,63;6,646;178.404;1.193.332
2020-10-27;6,805;6,826;6,788;6,791;307.125;2.090.981
2020-10-26;6,847;6,875;6,78;6,78;106.988;732.038
2020-10-23;6,926;6,949;6,90;6,907;236.412;1.636.431
2020-10-22;6,895;6,926;6,871;6,896;115.954;801.166
2020-10-21;6,958;6,958;6,886;6,906;320.162;2.212.512
2020-10-20;6,982;6,99;6,94;6,947;249.445;1.737.310
2020-10-19;7,103;7,104;7,011;7,02;214.852;1.519.874
2020-10-16;7,064;7,107;7,032;7,086;250.221;1.770.606
2020-10-15;7,048;7,048;6,987;7,02;314.624;2.209.567
2020-10-14;7,124;7,137;7,094;7,104;222.076;1.580.986
2020-10-13;7,096;7,107;7,063;7,105;226.364;1.604.478
2020-10-12;7,041;7,091;7,017;7,085;123.298;869.915
2020-10-09;7,004;7,007;6,983;6,997;174.467;1.219.924
2020-10-08;6,989;6,993;6,96;6,976;148.448;1.035.789
2020-10-07;6,912;6,933;6,889;6,932;217.185;1.503.193
2020-10-06;6,92;6,928;6,882;6,914;101.907;703.782
2020-10-05;6,909;6,909;6,866;6,894;205.645;1.414.413
2020-10-02;6,81;6,872;6,795;6,857;149.520;1.021.381
2020-10-01;6,915;6,919;6,864;6,884;342.707;2.365.927
2020-09-30;6,793;6,883;6,78;6,868;171.718;1.170.658
2020-09-29;6,89;6,89;6,825;6,829;58.633;402.088
2020-09-28;6,837;6,887;6,826;6,877;167.075;1.144.547
2020-09-25;6,712;6,749;6,652;6,739;267.882;1.791.092
2020-09-24;6,695;6,718;6,65;6,704;346.861;2.321.024
2020-09-23;6,812;6,858;6,769;6,769;316.955;2.163.143
2020-09-22;6,737;6,85;6,724;6,732;1.720.571;11.614.045
2020-09-21;6,788;6,788;6,664;6,678;334.244;2.246.856
2020-09-18;6,843;6,867;6,811;6,811;61.613;421.939
2020-09-17;6,829;6,878;6,80;6,864;415.187;2.845.937
2020-09-16;6,894;6,933;6,894;6,933;45.915;317.607
2020-09-15;6,85;6,904;6,828;6,899;109.189;749.682
2020-09-14;6,835;6,835;6,785;6,83;80.303;547.965
2020-09-11;6,758;6,799;6,74;6,769;36.931;249.880
2020-09-10;6,824;6,831;6,77;6,80;179.201;1.217.690
2020-09-09;6,71;6,805;6,703;6,805;92.573;624.261
2020-09-08;6,86;6,86;6,679;6,722;207.483;1.398.659
2020-09-07;6,78;6,841;6,766;6,839;218.445;1.485.275
2020-09-04;6,833;6,906;6,72;6,743;213.813;1.464.617
2020-09-03;7,10;7,10;6,865;6,888;239.072;1.682.769
2020-09-02;6,985;7,04;6,985;7,015;174.686;1.227.106
2020-09-01;6,927;6,94;6,85;6,896;275.774;1.904.983
2020-08-31;6,955;6,955;6,87;6,87;103.109;712.720
2020-08-28;6,95;6,95;6,893;6,906;116.097;802.913
2020-08-27;6,937;6,98;6,91;6,966;322.657;2.238.091
2020-08-26;6,861;6,919;6,861;6,916;55.866;385.448
2020-08-25;6,898;6,898;6,839;6,842;215.781;1.481.188
2020-08-24;6,848;6,856;6,817;6,84;74.321;508.738
2020-08-21;6,777;6,80;6,755;6,785;172.684;1.170.971
2020-08-20;6,731;6,755;6,717;6,755;162.743;1.096.853
2020-08-19;6,752;6,775;6,745;6,775;133.767;903.552
2020-08-18;6,767;6,797;6,73;6,749;101.743;688.209
2020-08-17;6,736;6,779;6,715;6,779;210.726;1.421.771
2020-08-14;6,767;6,767;6,70;6,738;92.163;621.090
2020-08-13;6,755;6,767;6,73;6,767;78.021;526.964
2020-08-12;6,725;6,774;6,715;6,762;58.297;392.580
2020-08-11;6,71;6,745;6,702;6,718;45.895;308.545
2020-08-10;6,67;6,689;6,66;6,674;122.162;815.705
2020-08-07;6,598;6,659;6,598;6,651;48.379;320.694
2020-08-06;6,614;6,625;6,59;6,601;141.574;934.553
2020-08-05;6,641;6,655;6,612;6,612;206.999;1.373.701
2020-08-04;6,625;6,626;6,591;6,614;31.991;211.429
2020-08-03;6,545;6,631;6,52;6,625;670.824;4.419.701
2020-07-31;6,506;6,526;6,456;6,465;177.303;1.151.466
2020-07-30;6,598;6,598;6,472;6,53;54.962;359.413
2020-07-29;6,593;6,611;6,573;6,611;63.010;415.134
2020-07-28;6,618;6,621;6,584;6,617;85.410;564.287
2020-07-27;6,589;6,597;6,557;6,562;119.645;786.920
2020-07-24;6,612;6,638;6,583;6,596;758.672;5.016.344
2020-07-23;6,748;6,761;6,703;6,716;154.081;1.038.301
2020-07-22;6,725;6,725;6,66;6,703;162.200;1.085.831
2020-07-21;6,792;6,812;6,761;6,761;242.997;1.648.798
2020-07-20;6,664;6,723;6,644;6,719;222.100;1.487.945
2020-07-17;6,685;6,69;6,658;6,678;182.690;1.219.885
2020-07-16;6,672;6,68;6,648;6,659;113.254;754.220
2020-07-15;6,695;6,725;6,659;6,697;178.518;1.196.091
2020-07-14;6,627;6,627;6,544;6,599;419.858;2.766.488
2020-07-13;6,703;6,723;6,671;6,723;186.692;1.248.003
2020-07-10;6,57;6,619;6,57;6,619;92.723;611.366
2020-07-09;6,619;6,635;6,554;6,56;385.510;2.552.186
2020-07-08;6,607;6,616;6,57;6,578;97.260;641.888
2020-07-07;6,636;6,656;6,60;6,646;184.953;1.223.504
2020-07-06;6,671;6,674;6,629;6,659;168.779;1.123.286
2020-07-03;6,64;6,64;6,562;6,562;180.104;1.187.922
2020-07-02;6,579;6,629;6,536;6,618;86.319;569.820
2020-07-01;6,52;6,58;6,479;6,504;631.622;4.105.871
2020-06-30;6,453;6,488;6,42;6,481;145.800;939.018
2020-06-29;6,386;6,424;6,344;6,422;158.369;1.010.578
2020-06-26;6,488;6,497;6,398;6,403;153.291;988.560
2020-06-25;6,381;6,429;6,337;6,409;614.872;3.924.326
2020-06-24;6,519;6,52;6,388;6,388;105.257;679.550
2020-06-23;6,544;6,572;6,53;6,55;52.131;341.555
2020-06-22;6,508;6,532;6,474;6,492;429.206;2.795.817
2020-06-19;6,556;6,593;6,538;6,57;156.834;1.027.642
2020-06-18;6,501;6,534;6,466;6,507;275.683;1.787.428
2020-06-17;6,507;6,552;6,50;6,535;1.157.084;7.547.025
2020-06-16;6,431;6,548;6,413;6,481;179.150;1.154.766
2020-06-15;6,176;6,303;6,15;6,284;156.061;970.370
2020-06-12;6,285;6,395;6,28;6,343;570.090;3.616.325
2020-06-11;6,454;6,454;6,324;6,324;219.098;1.404.959
2020-06-10;6,605;6,605;6,538;6,554;60.456;396.820
2020-06-09;6,647;6,647;6,544;6,563;56.184;369.789
2020-06-08;6,583;6,623;6,571;6,608;552.657;3.653.709
2020-06-05;6,489;6,616;6,489;6,616;244.106;1.598.295
2020-06-04;6,519;6,538;6,475;6,485;128.173;834.254
2020-06-03;6,483;6,543;6,47;6,532;171.312;1.113.448
2020-06-02;6,474;6,479;6,44;6,447;308.707;1.994.882
2020-05-29;6,408;6,408;6,337;6,348;121.330;774.350
2020-05-28;6,467;6,488;6,444;6,471;294.752;1.909.141
2020-05-27;6,426;6,454;6,33;6,383;172.924;1.107.005
2020-05-26;6,454;6,454;6,38;6,394;80.834;518.841
2020-05-25;6,367;6,401;6,334;6,398;53.716;342.696
2020-05-22;6,205;6,283;6,20;6,279;246.723;1.546.398
2020-05-21;6,256;6,282;6,244;6,247;14.220;89.072
2020-05-20;6,268;6,313;6,268;6,313;73.214;461.727
2020-05-19;6,351;6,351;6,257;6,294;260.078;1.631.832
2020-05-18;6,266;6,354;6,248;6,354;102.886;647.456
2020-05-15;6,196;6,196;6,092;6,129;174.565;1.070.233
2020-05-14;6,116;6,127;6,004;6,077;195.670;1.187.424
2020-05-13;6,211;6,213;6,149;6,149;129.743;805.097
2020-05-12;6,258;6,327;6,258;6,288;166.995;1.053.551
2020-05-11;6,33;6,33;6,242;6,293;91.127;573.823
2020-05-08;6,278;6,281;6,25;6,269;100.269;628.072
2020-05-07;6,182;6,232;6,182;6,232;167.648;1.040.776
2020-05-06;6,168;6,234;6,15;6,157;440.833;2.728.377
2020-05-05;6,123;6,175;6,088;6,175;406.110;2.486.067
2020-05-04;6,007;6,027;5,965;6,011;386.379;2.316.827
2020-04-30;6,328;6,328;6,181;6,181;268.450;1.678.904
2020-04-29;6,269;6,309;6,217;6,304;815.533;5.096.749
2020-04-28;6,204;6,285;6,191;6,222;313.763;1.959.946
2020-04-27;6,141;6,171;6,12;6,171;237.084;1.456.805
2020-04-24;6,01;6,071;6,01;6,029;167.811;1.012.652
2020-04-23;6,07;6,115;6,03;6,094;73.760;448.006
2020-04-22;5,999;6,033;5,975;6,032;144.349;867.764
2020-04-21;6,085;6,085;5,913;5,917;184.840;1.105.225
2020-04-20;6,168;6,168;6,057;6,162;149.088;911.722
2020-04-17;6,19;6,211;6,095;6,106;195.268;1.202.678
2020-04-16;6,018;6,027;5,929;6,006;115.643;692.942
2020-04-15;6,06;6,06;5,913;5,933;232.244;1.387.640
2020-04-14;6,071;6,071;6,00;6,023;166.553;1.005.432
2020-04-09;5,975;6,008;5,88;5,984;1.012.678;5.971.091
2020-04-08;5,779;5,875;5,746;5,875;145.435;840.557
2020-04-07;5,905;5,957;5,821;5,896;219.116;1.290.620
2020-04-06;5,661;5,743;5,66;5,737;138.395;789.167
2020-04-03;5,516;5,565;5,478;5,481;93.228;513.531
2020-04-02;5,478;5,495;5,36;5,495;65.092;355.219
2020-04-01;5,45;5,49;5,40;5,449;185.651;1.011.390
2020-03-31;5,698;5,713;5,575;5,668;257.062;1.460.526
2020-03-30;5,515;5,618;5,391;5,597;119.988;657.575
2020-03-27;5,548;5,548;5,427;5,468;57.020;311.710
2020-03-26;5,347;5,655;5,312;5,593;1.210.700;6.774.018
2020-03-25;5,462;5,53;5,30;5,479;243.070;1.321.427
2020-03-24;5,17;5,361;5,10;5,361;489.790;2.544.190
2020-03-23;4,925;5,21;4,867;4,9515;140.390;697.644
2020-03-20;5,356;5,454;5,219;5,254;284.743;1.529.906
2020-03-19;5,124;5,22;5,06;5,189;80.829;414.973
2020-03-18;5,124;5,186;4,9845;5,058;163.821;833.171
2020-03-17;5,35;5,35;5,029;5,31;125.358;651.751
2020-03-16;5,40;5,40;4,85;5,228;366.755;1.875.616
2020-03-13;5,351;5,51;5,226;5,328;218.711;1.168.577
2020-03-12;5,434;5,496;5,162;5,254;1.803.144;9.750.976
2020-03-11;5,813;5,87;5,725;5,737;215.981;1.248.708
2020-03-10;5,847;5,998;5,695;5,744;425.286;2.481.926
2020-03-09;5,654;5,861;5,649;5,80;274.255;1.572.706
2020-03-06;6,275;6,275;6,06;6,146;154.536;952.238
2020-03-05;6,514;6,514;6,36;6,416;130.822;842.295
2020-03-04;6,389;6,479;6,37;6,45;180.053;1.158.864
2020-03-03;6,422;6,50;6,367;6,367;1.458.752;9.435.381
2020-03-02;6,354;6,364;6,114;6,30;1.150.021;7.178.591
2020-02-28;6,24;6,287;6,15;6,22;763.414;4.758.255
2020-02-27;6,601;6,632;6,446;6,504;115.927;759.494
2020-02-26;6,754;6,80;6,625;6,776;116.844;785.021
2020-02-25;6,957;6,957;6,783;6,79;887.028;6.116.810
2020-02-24;7,001;7,001;6,87;6,901;183.340;1.269.364
2020-02-21;7,165;7,181;7,10;7,124;268.780;1.917.517
2020-02-20;7,251;7,271;7,157;7,157;1.218.563;8.783.476
2020-02-19;7,223;7,252;7,206;7,244;45.192;327.005
2020-02-18;7,156;7,198;7,15;7,166;155.085;1.110.839
2020-02-17;7,219;7,219;7,17;7,195;508.855;3.654.187
2020-02-14;7,189;7,189;7,152;7,169;45.984;329.915
2020-02-13;7,129;7,17;7,09;7,162;801.222;5.709.568
2020-02-12;7,128;7,14;7,111;7,14;166.897;1.190.623
2020-02-11;7,115;7,127;7,092;7,11;50.160;356.572
2020-02-10;7,019;7,052;7,00;7,052;34.355;241.020
2020-02-07;7,04;7,04;7,01;7,038;74.494;523.461
2020-02-06;7,054;7,061;7,02;7,05;200.393;1.411.504
2020-02-05;6,989;7,019;6,989;6,998;133.056;931.829
2020-02-04;6,857;6,932;6,857;6,932;129.729;893.611
2020-02-03;6,774;6,82;6,741;6,782;187.825;1.271.694
2020-01-31;6,861;6,861;6,738;6,738;68.190;464.414
2020-01-30;6,809;6,841;6,793;6,818;71.541;487.687
2020-01-29;6,854;6,901;6,854;6,876;497.064;3.427.166
2020-01-28;6,837;6,86;6,795;6,856;28.668;195.544
2020-01-27;6,823;6,825;6,769;6,803;119.035;808.724
2020-01-24;6,935;6,956;6,918;6,918;547.537;3.805.358
2020-01-23;6,898;6,898;6,87;6,886;36.258;249.817
2020-01-22;6,928;6,928;6,905;6,91;75.753;524.055
2020-01-21;6,876;6,897;6,82;6,891;608.050;4.167.968
2020-01-20;6,90;6,906;6,892;6,90;131.116;904.339
2020-01-17;6,872;6,897;6,872;6,89;39.689;273.400
2020-01-16;6,84;6,843;6,814;6,838;61.288;418.387
2020-01-15;6,815;6,815;6,79;6,812;89.233;607.248
2020-01-14;6,784;6,807;6,769;6,803;57.675;391.889
2020-01-13;6,789;6,791;6,767;6,772;30.715;208.156
2020-01-10;6,819;6,819;6,778;6,778;43.225;294.127
2020-01-09;6,799;6,799;6,77;6,783;16.078;109.146
2020-01-08;6,659;6,736;6,659;6,736;13.341;89.754
2020-01-07;6,702;6,726;6,699;6,712;12.194;81.972
2020-01-06;6,653;6,679;6,63;6,671;7.764;51.661
2020-01-03;6,689;6,703;6,668;6,692;54.369;363.508
2020-01-02;6,713;6,738;6,706;6,706;49.982;336.132
2019-12-30;6,724;6,724;6,706;6,707;14.149;94.998
2019-12-27;6,768;6,768;6,725;6,734;46.112;310.862
2019-12-23;6,764;6,765;6,738;6,745;20.019;135.144
2019-12-20;6,698;6,752;6,68;6,749;40.435;271.904
2019-12-19;6,661;6,682;6,653;6,682;8.744;58.320
2019-12-18;6,665;6,673;6,651;6,673;31.782;211.834
2019-12-17;6,679;6,679;6,645;6,655;40.870;272.207
2019-12-16;6,673;6,693;6,658;6,68;41.783;278.959
2019-12-13;6,623;6,645;6,613;6,613;67.850;449.933
2019-12-12;6,569;6,62;6,569;6,602;4.323;28.591
2019-12-11;6,587;6,587;6,567;6,579;27.398;180.200
2019-12-10;6,593;6,593;6,545;6,571;56.692;372.532
2019-12-09;6,613;6,613;6,589;6,593;41.371;273.079
2019-12-06;6,554;6,621;6,543;6,62;1.576;10.391
2019-12-05;6,563;6,563;6,525;6,525;22.412;146.727
2019-12-04;6,492;6,541;6,492;6,538;286.243;1.871.976
2019-12-03;6,543;6,543;6,45;6,473;17.856;115.449
2019-12-02;6,643;6,646;6,509;6,509;34.613;228.386
2019-11-29;6,595;6,637;6,595;6,625;3.972;26.325
2019-11-28;6,634;6,642;6,622;6,634;16.407;108.791
2019-11-27;6,661;6,661;6,637;6,65;15.896;105.809
2019-11-26;6,612;6,624;6,596;6,619;37.370;247.441
2019-11-25;6,575;6,595;6,571;6,595;6.619;43.572
2019-11-22;6,509;6,537;6,509;6,527;3.963;25.896
2019-11-21;6,508;6,508;6,499;6,504;5.350;34.775
2019-11-20;6,541;6,547;6,523;6,544;26.510;173.025
2019-11-19;6,584;6,586;6,54;6,545;6.281;41.268
2019-11-18;6,58;6,58;6,535;6,544;24.128;158.166
2019-11-15;6,578;6,578;6,534;6,556;21.025;137.899
2019-11-14;6,544;6,549;6,53;6,534;8.970;58.718
2019-11-13;6,519;6,526;6,499;6,526;15.152;98.525
2019-11-12;6,512;6,558;6,512;6,535;152.836;1.000.602
2019-11-11;6,499;6,505;6,48;6,505;17.646;114.691
2019-11-08;6,49;6,502;6,484;6,50;12.212;79.306
2019-11-07;6,492;6,508;6,483;6,506;30.153;195.971
2019-11-06;6,454;6,462;6,44;6,459;65.615;423.373
2019-11-05;6,451;6,474;6,437;6,458;64.543;417.125
2019-11-04;6,411;6,437;6,411;6,435;5.483;35.239
2019-11-01;6,383;6,40;6,306;6,387;41.274;263.567
2019-10-31;6,36;6,36;6,329;6,329;336;2.132
2019-10-30;6,346;6,374;6,346;6,372;23.866;151.554
2019-10-29;6,397;6,397;6,359;6,377;22.990;146.435
2019-10-28;6,377;6,385;6,351;6,365;14.150;90.207
2019-10-25;6,34;6,356;6,303;6,356;7.276;46.149
2019-10-24;6,279;6,32;6,279;6,32;8.122;51.105
2019-10-23;6,269;6,269;6,24;6,265;15.111;94.569
2019-10-22;6,282;6,288;6,249;6,278;66.141;414.713
2019-10-21;6,238;6,254;6,223;6,248;11.419;71.203
2019-10-18;6,23;6,245;6,214;6,214;11.204;69.833
2019-10-17;6,22;6,269;6,22;6,238;53.393;334.271
2019-10-16;6,287;6,287;6,26;6,264;9.389;58.852
2019-10-15;6,285;6,289;6,265;6,289;12.868;80.788
2019-10-14;6,269;6,269;6,221;6,24;18.992;118.503
2019-10-11;6,205;6,289;6,205;6,289;12.395;77.767
2019-10-10;6,157;6,198;6,121;6,197;13.822;85.042
2019-10-09;6,132;6,159;6,13;6,147;4.984;30.630
2019-10-08;6,222;6,222;6,129;6,129;3.005;18.587
2019-10-07;6,192;6,202;6,18;6,202;13.229;81.876
2019-10-04;6,126;6,189;6,111;6,189;3.590;22.140
2019-10-02;6,243;6,243;6,074;6,074;173.708;1.056.483
2019-10-01;6,365;6,365;6,256;6,256;11.978;76.135
2019-09-30;6,282;6,314;6,275;6,308;14.698;92.554
2019-09-27;6,308;6,322;6,29;6,299;4.081;25.740
2019-09-26;6,281;6,309;6,281;6,281;2.173;13.670
2019-09-25;6,24;6,255;6,219;6,254;6.685;41.731
2019-09-24;6,295;6,30;6,275;6,275;24.600;154.750
2019-09-23;6,293;6,293;6,25;6,271;7.976;49.946
2019-09-20;6,266;6,302;6,261;6,302;16.460;103.343
2019-09-19;6,251;6,29;6,24;6,29;168.990;1.054.633
2019-09-18;6,257;6,257;6,236;6,236;36.050;225.452
2019-09-17;6,264;6,264;6,238;6,241;9.331;58.375
2019-09-16;6,24;6,262;6,216;6,258;54.767;341.559
