Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-03-03;56,57;56,77;56,57;56,62;347.479;19.695.522
2021-03-02;56,07;56,55;55,97;56,24;831.810;46.927.196
2021-03-01;55,92;56,30;55,67;56,24;768.995;43.008.156
2021-02-26;55,06;55,71;54,92;55,18;894.356;49.446.757
2021-02-25;56,47;56,47;55,83;55,83;70.250;3.953.722
2021-02-24;55,95;56,23;55,79;56,17;50.697;2.834.527
2021-02-23;56,13;56,18;55,27;55,95;135.912;7.593.074
2021-02-22;55,78;56,19;55,50;56,11;68.526;3.826.827
2021-02-19;55,88;56,37;55,81;56,27;77.569;4.346.640
2021-02-18;56,13;56,19;55,72;55,74;20.531;1.149.906
2021-02-17;56,25;56,48;56,03;56,03;74.161;4.174.904
2021-02-16;56,61;56,66;56,42;56,48;34.910;1.975.584
2021-02-15;56,30;56,71;56,23;56,58;93.065;5.253.491
2021-02-12;55,47;56,00;55,33;56,00;59.744;3.324.166
2021-02-11;55,37;55,62;55,30;55,62;17.311;959.501
2021-02-10;55,64;55,66;54,98;55,26;131.580;7.304.583
2021-02-09;55,52;55,58;55,29;55,51;61.964;3.439.290
2021-02-08;55,68;55,75;55,48;55,52;65.587;3.645.995
2021-02-05;55,27;55,54;55,16;55,41;127.745;7.079.965
2021-02-04;54,69;55,19;54,67;55,17;145.809;7.997.223
2021-02-03;54,85;54,85;54,47;54,58;140.349;7.672.029
2021-02-02;53,96;54,42;53,96;54,38;92.968;5.048.715
2021-02-01;53,25;53,59;53,14;53,40;66.716;3.557.318
2021-01-29;52,97;53,38;52,68;52,68;325.462;17.326.248
2021-01-28;53,05;53,94;52,59;53,88;82.389;4.369.851
2021-01-27;54,03;54,34;53,06;53,53;34.120;1.834.363
2021-01-26;53,81;54,59;53,81;54,34;353.157;19.219.856
2021-01-25;54,78;54,80;53,62;53,77;91.659;4.979.293
2021-01-22;54,54;54,57;54,05;54,48;96.879;5.257.978
2021-01-21;55,20;55,22;54,72;54,72;37.267;2.049.343
2021-01-20;54,61;54,91;54,53;54,83;38.789;2.123.471
2021-01-19;54,75;54,80;54,37;54,39;36.742;2.006.159
2021-01-18;54,27;54,52;54,24;54,50;46.540;2.528.894
2021-01-15;54,81;54,93;54,19;54,42;95.695;5.242.062
2021-01-14;54,88;55,15;54,79;55,08;90.478;4.974.221
2021-01-13;54,63;54,81;54,44;54,69;104.315;5.703.890
2021-01-12;54,93;54,95;54,55;54,59;104.071;5.698.795
2021-01-11;54,96;55,04;54,42;54,74;125.759;6.883.544
2021-01-08;55,29;55,31;54,92;55,13;430.527;23.756.192
2021-01-07;54,83;55,00;54,54;54,85;172.225;9.433.236
2021-01-06;54,01;54,81;53,70;54,62;213.910;11.601.817
2021-01-05;53,78;54,06;53,32;53,69;304.131;16.319.422
2021-01-04;54,43;54,62;53,68;53,82;128.060;6.952.193
2020-12-30;54,13;54,25;54,04;54,04;66.558;3.603.486
2020-12-29;54,34;54,43;54,09;54,13;18.361;996.769
2020-12-28;53,90;54,24;53,84;54,11;158.379;8.558.235
2020-12-23;53,01;53,56;53,01;53,48;82.471;4.390.467
2020-12-22;52,46;52,92;52,46;52,77;114.781;6.054.713
2020-12-21;52,54;52,59;51,38;52,18;185.786;9.662.877
2020-12-18;53,66;54,14;53,52;53,52;166.131;8.970.681
2020-12-17;53,96;54,00;53,78;53,85;162.019;8.728.362
2020-12-16;53,41;53,80;53,27;53,56;190.872;10.240.242
2020-12-15;52,96;53,34;52,96;53,20;334.378;17.792.361
2020-12-14;53,19;53,41;52,99;52,99;149.108;7.930.209
2020-12-11;53,06;53,09;52,31;52,69;278.248;14.687.510
2020-12-10;53,41;53,52;52,91;53,23;169.411;9.040.440
2020-12-09;53,51;53,79;53,33;53,34;123.244;6.603.101
2020-12-08;53,31;53,39;52,98;53,33;176.801;9.420.532
